subject;index;acceptability;condition;idnumber
15;72;2;CNA;20
15;76;1;CNS;6
15;78;4;FPS;19
15;82;6;CNA;16
15;88;2;CNS;10
15;90;5;FPA;8
15;92;3;FPS;16
16;22;3;CNS;11
16;26;6;FPA;12
16;28;6;FPS;1
16;32;6;CNS;12
16;34;6;FPA;11
16;44;5;CNA;2
16;46;6;FPS;3
16;48;6;FPS;4
16;50;6;FPA;14
16;54;6;CNS;13
16;58;6;CNA;1
16;64;6;FPS;5
16;66;6;CNA;4
16;76;6;FPA;15
16;78;6;CNS;14
16;84;6;CNS;15
16;88;6;FPS;2
16;90;5;FPA;13
16;94;6;CNA;5
17;16;6;FPS;4
17;24;4;FPA;13
17;26;1;CNS;11
17;30;6;CNA;2
17;34;6;CNS;12
17;42;1;FPS;5
17;44;6;FPA;12
17;46;6;CNA;5
17;48;5;FPS;3
17;52;1;CNS;15
17;54;6;CNA;4
17;62;1;FPA;15
17;68;2;FPA;14
17;70;6;CNA;3
17;76;5;FPS;1
17;78;5;CNS;13
17;82;5;CNS;14
17;84;6;FPA;11
17;90;6;CNA;1
17;94;6;FPS;2
18;20;5;CNA;4
18;24;2;CNS;11
18;26;5;FPA;12
18;30;5;FPS;3
18;36;6;FPA;14
18;38;4;CNS;12
18;44;4;FPS;5
18;46;6;CNA;2
18;48;6;FPA;13
18;54;6;CNA;3
18;64;6;FPS;2
18;68;6;FPA;11
18;70;1;CNS;14
18;74;2;CNA;1
18;88;6;CNA;5
18;90;5;FPA;15
18;92;1;CNS;15
18;94;2;FPS;1
19;16;5;CNS;13
19;18;4;CNA;3
19;22;6;FPS;4
19;28;4;FPA;15
19;34;0;CNA;4
19;36;4;CNS;12
19;42;6;FPA;12
19;44;4;FPS;1
19;50;6;FPA;11
19;58;4;CNA;1
19;60;5;FPS;5
19;62;0;CNS;11
19;68;6;CNA;2
19;72;4;FPS;2
19;74;5;FPA;14
19;76;5;CNS;14
19;80;5;FPA;13
19;88;2;CNS;15
19;90;4;FPS;3
19;94;5;CNA;5
20;16;6;CNS;17
20;22;6;FPS;7
20;24;6;CNA;7
20;30;6;FPA;16
20;32;6;FPS;6
20;38;4;CNA;6
20;44;6;FPA;20
20;48;5;CNA;10
20;56;4;CNS;19
20;58;3;FPS;9
20;62;6;FPA;19
20;70;1;CNA;8
20;72;0;CNS;20
20;74;6;FPS;10
20;86;6;CNA;9
20;88;0;FPA;17
20;90;6;FPS;8
20;92;4;CNS;16
21;18;0;CNS;18
21;20;0;CNA;9
21;22;6;FPA;19
21;24;3;FPS;7
21;34;6;FPS;8
21;36;6;FPA;17
21;42;0;CNS;20
21;46;4;CNA;10
21;54;0;CNS;17
21;56;0;FPA;20
21;58;0;CNA;8
21;62;0;FPS;9
21;64;2;CNA;6
21;66;0;CNS;19
21;74;6;FPA;18
21;76;6;FPS;6
21;82;6;CNS;16
21;88;6;CNA;7
21;90;6;FPA;16
21;94;0;FPS;10
22;16;6;CNA;9
22;20;6;FPS;9
22;28;6;CNS;19
22;30;6;FPA;18
22;32;6;CNS;20
22;34;6;FPS;6
22;38;6;CNA;7
22;44;6;FPA;16
22;48;6;FPA;19
22;52;6;CNA;8
